time bd_pulse
1.601985751999999736e-09 -3.110000000000000189e-30
1.605902588000000286e-09 -2.189999999999999552e-30
1.609819423000000066e-09 -1.510000000000000056e-30
1.613736258999999995e-09 -1.030000000000000051e-30
1.617653093999999982e-09 -6.929999999999999492e-31
1.621569929999999911e-09 -4.609999999999999964e-31
1.625486765999999840e-09 -3.029999999999999780e-31
1.629403600999999827e-09 -1.969999999999999980e-31
1.633320436999999756e-09 -1.270000000000000009e-31
1.637237271999999949e-09 -8.100000000000001069e-32
1.641154108000000085e-09 -5.130000000000000568e-32
1.645070944000000014e-09 -3.220000000000000413e-32
1.648987779000000001e-09 -2.000000000000000112e-32
1.652904614999999930e-09 -1.230000000000000144e-32
1.656821450000000124e-09 -7.509999999999999373e-33
1.660738286000000053e-09 -4.539999999999999830e-33
1.664655121000000040e-09 -2.709999999999999721e-33
1.668571956999999969e-09 -1.610000000000000206e-33
1.672488793000000105e-09 -9.389999999999999383e-34
1.676405628000000091e-09 -5.419999999999999954e-34
1.680322464000000020e-09 -3.079999999999999752e-34
1.684239299000000214e-09 -1.719999999999999645e-34
1.688156135000000143e-09 -9.390000000000000880e-35
1.692072969999999923e-09 -4.999999999999999638e-35
1.695989806000000059e-09 -2.559999999999999635e-35
1.699906641999999988e-09 -1.249999999999999910e-35
1.703823476999999768e-09 -5.629999999999999311e-36
1.707740313000000111e-09 -2.169999999999999829e-36
1.711657148000000097e-09 -5.339999999999999932e-37
1.715573984000000233e-09 1.599999999999999939e-37
1.719490820000000162e-09 3.930000000000000513e-37
1.723407654999999942e-09 4.169999999999999544e-37
1.727324490999999871e-09 3.599999999999999654e-37
1.731241325999999858e-09 2.819999999999999673e-37
1.735158161999999787e-09 2.079999999999999670e-37
1.739074996999999981e-09 1.470000000000000012e-37
1.742991833000000117e-09 1.009999999999999852e-37
1.746908669000000046e-09 6.799999999999999323e-38
1.750825504000000033e-09 4.479999999999999683e-38
1.754742339999999962e-09 2.910000000000000145e-38
1.758659174999999948e-09 1.859999999999999950e-38
1.762576010999999878e-09 1.179999999999999966e-38
1.766492846999999807e-09 7.369999999999999422e-39
1.770409682000000000e-09 4.559999999999999873e-39
1.774326518000000136e-09 2.790000000000000056e-39
1.778243353000000123e-09 1.699999999999999961e-39
1.782160189000000052e-09 1.020000000000000075e-39
1.786077024000000039e-09 6.079999999999999668e-40
1.789993859999999968e-09 3.589999999999999346e-40
1.793910695999999897e-09 2.099999999999999770e-40
1.797827531000000090e-09 1.219999999999999979e-40
1.801744367000000020e-09 7.009999999999999211e-41
1.805661201999999800e-09 3.989999999999999706e-41
1.809578038000000142e-09 2.250000000000000045e-41
1.813494873000000129e-09 1.250000000000000167e-41
1.817411709000000058e-09 6.880000000000000692e-42
1.821328544999999987e-09 3.729999999999999482e-42
1.825245379999999974e-09 1.989999999999999885e-42
1.829162215999999903e-09 1.040000000000000001e-42
1.833079050999999890e-09 5.299999999999999514e-43
1.836995886999999819e-09 2.619999999999999825e-43
1.840912723000000162e-09 1.239999999999999937e-43
1.844829557999999942e-09 5.539999999999999175e-44
1.848746393999999871e-09 2.209999999999999683e-44
1.852663229000000064e-09 6.840000000000000321e-45
1.856580064999999993e-09 4.979999999999999799e-46
1.860496899999999773e-09 -1.710000000000000080e-45
1.864413736000000116e-09 -2.129999999999999821e-45
1.868330572000000045e-09 -1.880000000000000175e-45
1.872247406999999825e-09 -1.450000000000000063e-45
1.876164243000000168e-09 -1.039999999999999915e-45
1.880081077999999948e-09 -7.059999999999999163e-46
1.883997913999999877e-09 -4.659999999999999419e-46
1.887914749000000070e-09 -2.989999999999999814e-46
1.891831584999999999e-09 -1.880000000000000098e-46
1.895748420999999928e-09 -1.169999999999999885e-46
1.899665256000000122e-09 -7.119999999999999137e-47
1.903582092000000051e-09 -4.279999999999999842e-47
1.907498926999999831e-09 -2.549999999999999874e-47
1.911415763000000174e-09 -1.499999999999999840e-47
1.915332599000000103e-09 -8.749999999999999472e-48
1.919249434000000296e-09 -5.049999999999999688e-48
